Ahrenshöft,25853,Schleswig-Holstein,54.5581443,9.0713273
Ahrenshoop,18347,Mecklenburg-Vorpommern,54.3789509,12.419192
Ahrenviöl,25885,Schleswig-Holstein,54.5298783,9.2057328
Ahrenviölfeld,24896,Schleswig-Holstein,54.5334652,9.2756262
Ahrenviölfeld,25885,Schleswig-Holstein,54.5334652,9.2756262
Aichach,86551,Bayern,48.4589775,11.1308417
Aicha vorm Wald,94529,Bayern,48.6736222,13.2927294
Aichelberg,73101,Baden-Württemberg,48.6354038,9.5678246
Aichen,86479,Bayern,48.2284503,10.5402577
Aichhalden,78733,Baden-Württemberg,48.2679292,8.399562
Aichstetten,88317,Baden-Württemberg,47.8926582,10.077408
Aichtal,72631,Baden-Württemberg,48.6278878,9.2412617
Aichwald,73773,Baden-Württemberg,48.7659177,9.380779989287014
Aidenbach,94501,Bayern,48.5677985,13.0879564
Aidhausen,97491,Bayern,50.155421,10.4362936
Aidlingen,71134,Baden-Württemberg,48.6785572,8.8983347
Aiglsbach,84089,Bayern,48.6921006,11.7113506
Ailertchen,56459,Rheinland-Pfalz,50.5986998,7.9410681
Aindling,86447,Bayern,48.5122627,10.9542129
Ainring,83404,Bayern,47.8137115,12.9527018
Aislingen,89344,Bayern,48.5041705,10.4542077
Aiterhofen,94330,Bayern,48.8456935,12.6195292
Aitern,79677,Baden-Württemberg,47.8017981,7.9011657
Aitrach,88319,Baden-Württemberg,47.9402325,10.0904199
Aitrang,87648,Bayern,47.819518,10.5356002
Aken (Elbe),06385,Sachsen-Anhalt,51.85,12.05
Aken (Elbe),06386,Sachsen-Anhalt,51.85,12.05
Aland,39615,Sachsen-Anhalt,52.96903495,11.655860576250653
Albaching,83544,Bayern,48.1103044,12.1112803
Albbruck,79774,Baden-Württemberg,47.5943254,8.1336893
Albersdorf,25767,Schleswig-Holstein,54.1458092,9.285792
Albersdorf,07646,Thüringen,50.9036639,11.7739713
Albershausen,73095,Baden-Württemberg,48.6919721,9.5658873
Albersweiler,76857,Rheinland-Pfalz,49.2189513,8.0299651
Albertshofen,97320,Bayern,49.7705576,10.1601777
Albessen,66871,Rheinland-Pfalz,49.5165124,7.3310111
Albig,55234,Rheinland-Pfalz,49.7735056,8.121674
Albisheim (Pfrimm),67308,Rheinland-Pfalz,49.6495137,8.0950894
Albsfelde,23909,Schleswig-Holstein,53.680891,10.6965136
Albstadt,72458,Baden-Württemberg,48.2342372,9.0104093
Albstadt,72459,Baden-Württemberg,48.2342372,9.0104093
Albstadt,72461,Baden-Württemberg,48.2342372,9.0104093
Aldenhoven,52457,Nordrhein-Westfalen,50.8962734,6.2827943
Aldersbach,94501,Bayern,48.5881793,13.0846579
Aldingen,78554,Baden-Württemberg,48.092217,8.7025341
Alerheim,86733,Bayern,48.8450781,10.6211608
Alesheim,91793,Bayern,49.0483133,10.864338
Aletshausen,86480,Bayern,48.1990939,10.3892164
Alf,56859,Rheinland-Pfalz,50.0564941,7.1255275
Alfdorf,73553,Baden-Württemberg,48.8441425,9.7220876
Alfdorf,73655,Baden-Württemberg,48.8441425,9.7220876
Alfeld,91236,Bayern,49.4291538,11.5439334
Alfeld (Leine),31061,Niedersachsen,51.9863077,9.8247473
Alfhausen,49594,Niedersachsen,52.5006786,7.9520785
Alflen,56828,Rheinland-Pfalz,50.1771038,7.0409561
Alfstedt,27432,Niedersachsen,53.5499782,9.0666915
Alfter,53347,Nordrhein-Westfalen,50.7370665,7.0093699
Algermissen,31191,Niedersachsen,52.2514068,9.9679044
Alheim,36211,Hessen,51.0333,9.66667
